,Insurance,Policy Holders,Premium Amounts,Claim Amounts,Premium Type,Insurance Year,Casualty Year,Casualty Month,Total Vehicles Crashed,Sex,Age
3726,HDFC ERGO General Insurance,2720,42597.0,22107.0,Commercial Insurance Premium,2016,2017,November,9,Female,18
3727,The New India Assurance,2936,47721.0,42209.0,Personal Insurance Premium,2017,2018,December,2,Male,78
3728,The New India Assurance,4823,29001.0,65393.0,Personal Insurance Premium,2017,2018,July,3,Male,68
3730,The New India Assurance,4816,30539.0,96185.0,Commercial Insurance Premium,2016,2017,May,2,Male,62
3731,The Oriental Insurance Company,2264,34579.0,60207.0,Commercial Insurance Premium,2017,2018,October,3,Male,21
3732,HDFC ERGO General Insurance,3062,38040.0,49228.0,Personal Insurance Premium,2016,2017,July,7,Male,22
3733,The Oriental Insurance Company,4090,48429.0,77154.0,Commercial Insurance Premium,2018,2019,February,10,Female,67
3734,HDFC ERGO General Insurance,4788,20564.0,76504.0,Commercial Insurance Premium,2018,2019,September,5,Female,42
3735,ICICI Lombard General Insurance,2713,39332.0,86157.0,Commercial Insurance Premium,2017,2018,October,10,Female,70
3736,The Oriental Insurance Company,3582,43794.0,65097.0,Commercial Insurance Premium,2017,2018,April,3,Male,74
3738,ICICI Lombard General Insurance,4351,44745.0,50291.0,Commercial Insurance Premium,2014,2015,March,3,Female,32
3739,ICICI Lombard General Insurance,2050,35626.0,31611.0,Commercial Insurance Premium,2014,2015,May,10,Male,27
3740,ICICI Lombard General Insurance,1534,46797.0,23683.0,Commercial Insurance Premium,2018,2019,April,4,Female,20
3741,The New India Assurance,3379,22591.0,27762.0,Personal Insurance Premium,2014,2015,April,6,Female,57
3742,The Oriental Insurance Company,2418,24256.0,26764.0,Commercial Insurance Premium,2015,2016,September,4,Female,22
3743,ICICI Lombard General Insurance,4399,25996.0,52624.0,Commercial Insurance Premium,2016,2017,August,8,Male,18
3744,The New India Assurance,2047,26874.0,69038.0,Commercial Insurance Premium,2015,2016,September,5,Female,29
3745,ICICI Lombard General Insurance,3813,33633.0,29816.0,Commercial Insurance Premium,2015,2016,December,10,Male,42
3747,HDFC ERGO General Insurance,2801,25965.0,39250.0,Commercial Insurance Premium,2015,2016,February,3,Male,63
3748,HDFC ERGO General Insurance,1983,44145.0,28162.0,Commercial Insurance Premium,2018,2019,December,6,Female,19
3749,The New India Assurance,1074,36787.0,34738.0,Commercial Insurance Premium,2014,2015,December,10,Male,77
3750,ICICI Lombard General Insurance,4360,42678.0,78168.0,Commercial Insurance Premium,2017,2018,July,3,Female,24
3751,TATA AIG General Insurance,4962,28574.0,79242.0,Commercial Insurance Premium,2018,2019,November,6,Female,59
3752,TATA AIG General Insurance,4676,29330.0,59804.0,Commercial Insurance Premium,2014,2015,May,7,Male,19
3753,HDFC ERGO General Insurance,2265,33050.0,57105.0,Personal Insurance Premium,2014,2015,August,3,Male,22
3754,HDFC ERGO General Insurance,4212,39764.0,66108.0,Commercial Insurance Premium,2017,2018,April,2,Male,54
3755,ICICI Lombard General Insurance,3587,44634.0,69991.0,Commercial Insurance Premium,2018,2019,August,5,Female,56
3756,The Oriental Insurance Company,1708,35469.0,46639.0,Personal Insurance Premium,2014,2015,August,6,Female,27
3757,ICICI Lombard General Insurance,4856,30150.0,61558.0,Commercial Insurance Premium,2015,2016,March,5,Female,71
3758,The Oriental Insurance Company,2699,31833.0,22891.0,Commercial Insurance Premium,2017,2018,January,7,Female,25
3759,HDFC ERGO General Insurance,1147,40676.0,26378.0,Personal Insurance Premium,2017,2018,November,3,Male,39
3760,HDFC ERGO General Insurance,4011,24574.0,71983.0,Personal Insurance Premium,2014,2015,September,3,Female,52
3761,The Oriental Insurance Company,2529,29816.0,96209.0,Personal Insurance Premium,2014,2015,December,7,Male,76
3762,HDFC ERGO General Insurance,1411,44364.0,30705.0,Personal Insurance Premium,2017,2018,May,2,Male,59
3763,The Oriental Insurance Company,1117,31874.0,60510.0,Personal Insurance Premium,2014,2015,December,4,Female,34
3764,TATA AIG General Insurance,1949,38229.0,84989.0,Personal Insurance Premium,2014,2015,May,6,Female,56
3765,ICICI Lombard General Insurance,2725,23184.0,53830.0,Personal Insurance Premium,2018,2019,May,9,Male,27
3766,ICICI Lombard General Insurance,1783,35017.0,22735.0,Commercial Insurance Premium,2018,2019,September,3,Female,70
3768,The Oriental Insurance Company,1486,45070.0,78100.0,Commercial Insurance Premium,2018,2019,September,3,Female,69
3769,TATA AIG General Insurance,2245,38279.0,78753.0,Personal Insurance Premium,2018,2019,July,4,Male,29
3770,TATA AIG General Insurance,2053,29542.0,54717.0,Personal Insurance Premium,2018,2019,August,1,Male,37
3772,TATA AIG General Insurance,3847,21661.0,92785.0,Personal Insurance Premium,2015,2016,September,1,Female,44
3774,ICICI Lombard General Insurance,3221,39396.0,34054.0,Personal Insurance Premium,2015,2016,October,4,Male,23
3778,The New India Assurance,2289,39839.0,86997.0,Personal Insurance Premium,2015,2016,February,1,Female,33
3779,ICICI Lombard General Insurance,2700,46820.0,29763.0,Personal Insurance Premium,2014,2015,July,5,Female,55
3780,ICICI Lombard General Insurance,4578,31331.0,49067.0,Commercial Insurance Premium,2017,2018,November,10,Female,60
3781,HDFC ERGO General Insurance,3384,47560.0,55779.0,Commercial Insurance Premium,2014,2015,January,6,Female,33
3782,ICICI Lombard General Insurance,3219,34044.0,81906.0,Personal Insurance Premium,2015,2016,January,9,Male,31
3783,The New India Assurance,4165,24775.0,52833.0,Personal Insurance Premium,2017,2018,August,1,Female,58
3784,TATA AIG General Insurance,4099,23688.0,92436.0,Commercial Insurance Premium,2017,2018,January,2,Male,48
3785,ICICI Lombard General Insurance,4926,20346.0,53655.0,Personal Insurance Premium,2018,2019,January,8,Male,63
3787,TATA AIG General Insurance,1216,49592.0,64723.0,Commercial Insurance Premium,2018,2019,July,1,Female,45
3788,ICICI Lombard General Insurance,4946,35809.0,64606.0,Commercial Insurance Premium,2018,2019,October,6,Female,32
3789,The New India Assurance,3705,35349.0,78151.0,Commercial Insurance Premium,2018,2019,September,10,Male,58
3791,The New India Assurance,2506,25718.0,98768.0,Personal Insurance Premium,2014,2015,January,1,Female,50
3792,ICICI Lombard General Insurance,2788,47305.0,46582.0,Commercial Insurance Premium,2015,2016,February,1,Female,24
3793,HDFC ERGO General Insurance,3625,31246.0,26101.0,Commercial Insurance Premium,2015,2016,November,9,Male,43
3794,HDFC ERGO General Insurance,1068,44002.0,44497.0,Personal Insurance Premium,2017,2018,May,10,Male,67
3795,TATA AIG General Insurance,3297,37964.0,50523.0,Personal Insurance Premium,2015,2016,June,5,Male,74
3797,TATA AIG General Insurance,2809,35703.0,80896.0,Personal Insurance Premium,2017,2018,April,9,Female,74
3798,The New India Assurance,2007,24557.0,78631.0,Personal Insurance Premium,2014,2015,June,9,Male,20
3799,The Oriental Insurance Company,3219,40476.0,20392.0,Commercial Insurance Premium,2018,2019,July,6,Male,28
3801,TATA AIG General Insurance,3682,20935.0,88476.0,Commercial Insurance Premium,2014,2015,September,1,Male,28
3802,TATA AIG General Insurance,4386,27762.0,48804.0,Personal Insurance Premium,2016,2017,March,4,Female,54
3803,TATA AIG General Insurance,3667,46163.0,46586.0,Commercial Insurance Premium,2016,2017,March,7,Male,69
3806,TATA AIG General Insurance,1048,30340.0,76081.0,Personal Insurance Premium,2016,2017,February,8,Male,43
3809,TATA AIG General Insurance,2034,28867.0,25827.0,Personal Insurance Premium,2015,2016,August,6,Male,27
3811,The New India Assurance,4868,40067.0,21768.0,Personal Insurance Premium,2015,2016,February,2,Female,35
3813,The Oriental Insurance Company,4821,44740.0,74596.0,Commercial Insurance Premium,2015,2016,September,9,Female,37
3814,The New India Assurance,1959,34861.0,62656.0,Personal Insurance Premium,2017,2018,August,10,Male,68
3815,TATA AIG General Insurance,4776,48527.0,53235.0,Personal Insurance Premium,2016,2017,May,9,Female,56
3818,The New India Assurance,2739,20771.0,23672.0,Personal Insurance Premium,2015,2016,April,7,Male,72
3819,HDFC ERGO General Insurance,1435,22915.0,67499.0,Personal Insurance Premium,2018,2019,March,8,Male,41
3820,ICICI Lombard General Insurance,1492,39524.0,79421.0,Commercial Insurance Premium,2018,2019,June,4,Male,34
3823,HDFC ERGO General Insurance,2134,47405.0,65576.0,Personal Insurance Premium,2016,2017,July,1,Male,22
3824,The Oriental Insurance Company,4159,40618.0,33779.0,Personal Insurance Premium,2018,2019,January,1,Male,74
3825,The Oriental Insurance Company,3068,41556.0,36255.0,Commercial Insurance Premium,2014,2015,September,8,Male,36
3826,ICICI Lombard General Insurance,2728,31663.0,35841.0,Commercial Insurance Premium,2015,2016,March,1,Male,45
3827,The Oriental Insurance Company,3455,32763.0,55397.0,Personal Insurance Premium,2015,2016,December,4,Male,68
3828,HDFC ERGO General Insurance,3643,22888.0,33648.0,Commercial Insurance Premium,2018,2019,October,5,Female,23
3829,The New India Assurance,4647,26849.0,68094.0,Personal Insurance Premium,2017,2018,September,1,Male,70
3830,The Oriental Insurance Company,4512,43670.0,98264.0,Commercial Insurance Premium,2014,2015,November,8,Male,18
3832,ICICI Lombard General Insurance,3507,24630.0,61293.0,Personal Insurance Premium,2017,2018,January,1,Female,69
3833,HDFC ERGO General Insurance,4161,46752.0,77384.0,Commercial Insurance Premium,2014,2015,April,9,Male,57
3834,ICICI Lombard General Insurance,2285,20744.0,84384.0,Commercial Insurance Premium,2017,2018,December,8,Female,36
3835,TATA AIG General Insurance,4705,29656.0,76197.0,Personal Insurance Premium,2017,2018,April,2,Male,59
3836,TATA AIG General Insurance,2042,38938.0,90556.0,Commercial Insurance Premium,2018,2019,August,5,Female,77
3837,HDFC ERGO General Insurance,4395,46555.0,41061.0,Commercial Insurance Premium,2018,2019,March,7,Female,52
3838,HDFC ERGO General Insurance,4059,21347.0,33710.0,Commercial Insurance Premium,2015,2016,December,1,Female,51
3839,The New India Assurance,3692,45476.0,69100.0,Commercial Insurance Premium,2018,2019,January,9,Male,77
3840,ICICI Lombard General Insurance,1362,43009.0,86703.0,Commercial Insurance Premium,2018,2019,January,10,Female,32
3841,ICICI Lombard General Insurance,2433,25210.0,87019.0,Personal Insurance Premium,2018,2019,January,8,Male,75
3842,ICICI Lombard General Insurance,3151,34313.0,73454.0,Commercial Insurance Premium,2017,2018,March,5,Male,71
3843,TATA AIG General Insurance,2118,40722.0,72953.0,Personal Insurance Premium,2017,2018,July,3,Female,46
3845,The Oriental Insurance Company,3824,44708.0,53695.0,Personal Insurance Premium,2018,2019,June,5,Female,31
3846,TATA AIG General Insurance,1929,24640.0,86427.0,Commercial Insurance Premium,2016,2017,December,3,Male,78
3848,The New India Assurance,4088,20122.0,52721.0,Commercial Insurance Premium,2018,2019,January,7,Male,55
3849,The New India Assurance,4327,25569.0,26754.0,Commercial Insurance Premium,2016,2017,October,10,Female,74
3850,HDFC ERGO General Insurance,2712,37306.0,42341.0,Personal Insurance Premium,2017,2018,November,9,Female,32
3851,The New India Assurance,1127,24562.0,76032.0,Commercial Insurance Premium,2017,2018,May,3,Female,20
3853,The Oriental Insurance Company,2200,48427.0,44190.0,Personal Insurance Premium,2015,2016,December,2,Female,41
3854,The Oriental Insurance Company,4065,46900.0,94497.0,Personal Insurance Premium,2017,2018,March,9,Female,19
3855,The New India Assurance,3423,45614.0,39619.0,Personal Insurance Premium,2015,2016,May,10,Female,63
3856,TATA AIG General Insurance,1163,28411.0,99131.0,Commercial Insurance Premium,2015,2016,March,4,Female,47
3858,The Oriental Insurance Company,3420,23990.0,83680.0,Personal Insurance Premium,2014,2015,November,9,Male,37
3859,ICICI Lombard General Insurance,4208,27007.0,59619.0,Commercial Insurance Premium,2014,2015,May,6,Female,71
3861,TATA AIG General Insurance,4562,34591.0,35708.0,Commercial Insurance Premium,2016,2017,September,2,Female,33
3862,TATA AIG General Insurance,1070,33332.0,93408.0,Commercial Insurance Premium,2017,2018,January,8,Male,54
3865,The Oriental Insurance Company,4190,24021.0,34603.0,Commercial Insurance Premium,2018,2019,August,3,Male,57
3866,TATA AIG General Insurance,1468,40870.0,47908.0,Commercial Insurance Premium,2015,2016,August,4,Female,65
3867,The Oriental Insurance Company,4560,28551.0,22445.0,Commercial Insurance Premium,2018,2019,April,1,Female,51
3868,The Oriental Insurance Company,2611,48064.0,87562.0,Personal Insurance Premium,2017,2018,June,10,Male,50
3870,The Oriental Insurance Company,4369,48305.0,49803.0,Commercial Insurance Premium,2014,2015,June,2,Male,51
3872,The Oriental Insurance Company,3979,22697.0,89423.0,Personal Insurance Premium,2016,2017,July,1,Male,40
3873,The Oriental Insurance Company,2273,24539.0,45305.0,Personal Insurance Premium,2015,2016,May,4,Female,64
3875,The New India Assurance,1123,46700.0,85266.0,Commercial Insurance Premium,2018,2019,September,3,Female,77
3877,TATA AIG General Insurance,2540,31445.0,72958.0,Personal Insurance Premium,2015,2016,December,1,Male,48
3878,The New India Assurance,1566,49461.0,57523.0,Personal Insurance Premium,2014,2015,August,9,Male,21
3879,The Oriental Insurance Company,1921,45762.0,24292.0,Commercial Insurance Premium,2014,2015,June,8,Female,65
3880,The New India Assurance,4127,22479.0,36212.0,Commercial Insurance Premium,2016,2017,March,7,Male,18
3881,TATA AIG General Insurance,2247,22398.0,86465.0,Commercial Insurance Premium,2017,2018,April,2,Male,79
3882,TATA AIG General Insurance,4000,37197.0,32558.0,Personal Insurance Premium,2014,2015,October,6,Female,63
3883,ICICI Lombard General Insurance,2165,30436.0,97912.0,Commercial Insurance Premium,2014,2015,December,3,Male,39
3884,The Oriental Insurance Company,1140,29073.0,95492.0,Commercial Insurance Premium,2018,2019,August,4,Female,45
3885,The New India Assurance,2815,29927.0,76869.0,Personal Insurance Premium,2016,2017,September,10,Female,63
3886,The Oriental Insurance Company,2105,47955.0,96744.0,Commercial Insurance Premium,2016,2017,May,4,Male,32
3887,HDFC ERGO General Insurance,4967,41678.0,90860.0,Commercial Insurance Premium,2016,2017,November,4,Female,41
3889,ICICI Lombard General Insurance,4310,21766.0,87874.0,Commercial Insurance Premium,2016,2017,November,3,Female,63
3890,TATA AIG General Insurance,1501,45658.0,47461.0,Commercial Insurance Premium,2017,2018,November,7,Female,53
3892,TATA AIG General Insurance,1183,29710.0,42650.0,Personal Insurance Premium,2018,2019,October,1,Male,62
3893,The New India Assurance,3975,41219.0,59146.0,Commercial Insurance Premium,2018,2019,June,7,Male,34
3894,ICICI Lombard General Insurance,4111,42975.0,36075.0,Personal Insurance Premium,2017,2018,April,9,Male,41
3895,The Oriental Insurance Company,1535,45632.0,56029.0,Personal Insurance Premium,2014,2015,February,7,Male,45
3896,TATA AIG General Insurance,3160,34474.0,30436.0,Commercial Insurance Premium,2016,2017,September,1,Male,71
3897,ICICI Lombard General Insurance,1145,35382.0,51812.0,Personal Insurance Premium,2018,2019,June,5,Male,51
3898,TATA AIG General Insurance,3829,35055.0,66002.0,Commercial Insurance Premium,2018,2019,February,10,Male,35
3899,The Oriental Insurance Company,1287,20832.0,63643.0,Commercial Insurance Premium,2014,2015,September,10,Male,68
3900,TATA AIG General Insurance,2625,27583.0,61447.0,Commercial Insurance Premium,2015,2016,May,9,Male,59
3901,The Oriental Insurance Company,4652,42643.0,88818.0,Commercial Insurance Premium,2014,2015,January,4,Female,23
3902,ICICI Lombard General Insurance,3241,33016.0,29701.0,Personal Insurance Premium,2015,2016,October,6,Male,35
3905,The New India Assurance,3878,42396.0,61616.0,Personal Insurance Premium,2014,2015,March,6,Male,20
3906,The New India Assurance,4003,46979.0,31448.0,Commercial Insurance Premium,2017,2018,February,7,Male,27
3907,HDFC ERGO General Insurance,3152,45048.0,81154.0,Personal Insurance Premium,2015,2016,January,8,Female,57
3909,The Oriental Insurance Company,2414,35827.0,34888.0,Commercial Insurance Premium,2017,2018,March,8,Female,59
3910,ICICI Lombard General Insurance,1270,31743.0,20748.0,Commercial Insurance Premium,2014,2015,August,1,Male,46
3911,The New India Assurance,4631,43784.0,40541.0,Personal Insurance Premium,2016,2017,September,5,Female,44
3912,HDFC ERGO General Insurance,1230,45191.0,29226.0,Personal Insurance Premium,2018,2019,July,1,Male,26
3913,TATA AIG General Insurance,4815,42565.0,73739.0,Commercial Insurance Premium,2015,2016,July,4,Female,66
3914,The New India Assurance,4037,43132.0,98099.0,Commercial Insurance Premium,2017,2018,July,6,Female,21
3915,The New India Assurance,3134,29014.0,90348.0,Personal Insurance Premium,2015,2016,June,10,Female,60
3916,The Oriental Insurance Company,4674,45267.0,43987.0,Personal Insurance Premium,2015,2016,December,5,Male,23
3917,TATA AIG General Insurance,2356,20287.0,53191.0,Commercial Insurance Premium,2015,2016,July,9,Male,40
3920,The Oriental Insurance Company,4869,37616.0,67829.0,Personal Insurance Premium,2017,2018,December,9,Female,75
3921,TATA AIG General Insurance,3177,38009.0,97099.0,Personal Insurance Premium,2016,2017,August,9,Male,54
3922,The New India Assurance,2885,47531.0,96174.0,Personal Insurance Premium,2014,2015,May,2,Male,63
3923,TATA AIG General Insurance,2730,27371.0,57294.0,Commercial Insurance Premium,2016,2017,April,7,Male,38
3924,HDFC ERGO General Insurance,3358,23833.0,30774.0,Personal Insurance Premium,2015,2016,January,5,Female,46
3925,The Oriental Insurance Company,3709,42466.0,22944.0,Personal Insurance Premium,2014,2015,February,5,Male,29
3927,TATA AIG General Insurance,1781,29850.0,29678.0,Commercial Insurance Premium,2016,2017,September,4,Female,78
3928,HDFC ERGO General Insurance,1236,36075.0,45082.0,Commercial Insurance Premium,2015,2016,September,10,Male,55
3929,TATA AIG General Insurance,1910,22989.0,27981.0,Commercial Insurance Premium,2016,2017,November,3,Female,42
3930,The New India Assurance,4505,35571.0,83951.0,Personal Insurance Premium,2016,2017,July,3,Female,24
3931,The New India Assurance,2293,22039.0,22556.0,Commercial Insurance Premium,2017,2018,September,9,Female,42
3932,The Oriental Insurance Company,1368,39624.0,80966.0,Personal Insurance Premium,2018,2019,December,7,Male,43
3933,TATA AIG General Insurance,2953,38622.0,85347.0,Commercial Insurance Premium,2018,2019,October,7,Female,76
3934,HDFC ERGO General Insurance,3799,41080.0,85570.0,Commercial Insurance Premium,2016,2017,December,1,Female,31
3935,TATA AIG General Insurance,4202,39877.0,73895.0,Commercial Insurance Premium,2018,2019,November,6,Male,78
3936,HDFC ERGO General Insurance,3347,41433.0,67275.0,Commercial Insurance Premium,2018,2019,November,1,Male,76
3937,TATA AIG General Insurance,2808,36034.0,54504.0,Personal Insurance Premium,2016,2017,October,8,Female,79
3938,ICICI Lombard General Insurance,3991,42588.0,71904.0,Personal Insurance Premium,2018,2019,June,10,Female,56
3939,The Oriental Insurance Company,3594,22323.0,77596.0,Commercial Insurance Premium,2014,2015,April,9,Female,75
3945,TATA AIG General Insurance,1828,21902.0,53999.0,Personal Insurance Premium,2016,2017,August,2,Female,34
3946,TATA AIG General Insurance,1470,33513.0,64869.0,Commercial Insurance Premium,2018,2019,October,3,Female,45
3947,ICICI Lombard General Insurance,1054,47192.0,96282.0,Commercial Insurance Premium,2017,2018,April,6,Male,18
3948,The New India Assurance,3267,27274.0,58796.0,Personal Insurance Premium,2017,2018,December,9,Male,53
3949,The New India Assurance,4600,30939.0,41414.0,Personal Insurance Premium,2017,2018,October,9,Male,32
3950,HDFC ERGO General Insurance,3251,48340.0,34635.0,Commercial Insurance Premium,2014,2015,September,1,Male,54
3951,The Oriental Insurance Company,4513,36137.0,73156.0,Commercial Insurance Premium,2017,2018,July,3,Female,28
3952,ICICI Lombard General Insurance,4967,34416.0,87117.0,Personal Insurance Premium,2014,2015,April,5,Male,70
3954,The New India Assurance,3632,29344.0,88630.0,Personal Insurance Premium,2014,2015,April,2,Male,43
3955,The Oriental Insurance Company,1136,31555.0,41976.0,Commercial Insurance Premium,2017,2018,April,1,Male,77
3956,HDFC ERGO General Insurance,2098,43793.0,63253.0,Personal Insurance Premium,2016,2017,December,4,Male,59
3957,ICICI Lombard General Insurance,4357,23167.0,64978.0,Personal Insurance Premium,2017,2018,July,4,Female,45
3959,HDFC ERGO General Insurance,1431,20422.0,27292.0,Personal Insurance Premium,2017,2018,December,1,Male,55
3960,ICICI Lombard General Insurance,3256,34432.0,51631.0,Personal Insurance Premium,2016,2017,February,5,Female,28
3961,The Oriental Insurance Company,2233,37536.0,63142.0,Commercial Insurance Premium,2017,2018,November,10,Female,59
3963,HDFC ERGO General Insurance,1255,34966.0,75603.0,Personal Insurance Premium,2017,2018,October,7,Male,30
3964,TATA AIG General Insurance,3670,29466.0,22149.0,Personal Insurance Premium,2016,2017,May,3,Female,44
3965,TATA AIG General Insurance,2380,27634.0,71177.0,Personal Insurance Premium,2015,2016,February,4,Female,36
3966,ICICI Lombard General Insurance,1141,23764.0,99407.0,Personal Insurance Premium,2015,2016,December,7,Male,39
3967,HDFC ERGO General Insurance,2998,33143.0,43597.0,Personal Insurance Premium,2015,2016,February,8,Male,65
3968,HDFC ERGO General Insurance,2216,27384.0,26987.0,Personal Insurance Premium,2016,2017,July,1,Female,76
3970,The Oriental Insurance Company,3954,47258.0,68754.0,Commercial Insurance Premium,2017,2018,December,5,Male,33
3971,ICICI Lombard General Insurance,1091,31382.0,46078.0,Personal Insurance Premium,2017,2018,August,1,Female,35
3972,TATA AIG General Insurance,3848,33729.0,92829.0,Personal Insurance Premium,2016,2017,August,8,Female,23
3974,ICICI Lombard General Insurance,2609,41886.0,65441.0,Commercial Insurance Premium,2015,2016,September,7,Male,63
3975,ICICI Lombard General Insurance,3166,40150.0,55335.0,Personal Insurance Premium,2016,2017,June,1,Male,76
3976,The Oriental Insurance Company,2776,37640.0,69249.0,Personal Insurance Premium,2016,2017,September,7,Female,70
3977,HDFC ERGO General Insurance,3226,43218.0,40449.0,Personal Insurance Premium,2017,2018,May,9,Male,25
3978,The Oriental Insurance Company,4651,23478.0,49941.0,Personal Insurance Premium,2018,2019,October,9,Female,74
3979,The New India Assurance,3452,39949.0,72538.0,Personal Insurance Premium,2016,2017,February,2,Male,27
3980,ICICI Lombard General Insurance,1717,22454.0,55310.0,Personal Insurance Premium,2016,2017,May,3,Female,72
3982,ICICI Lombard General Insurance,1560,31307.0,73706.0,Commercial Insurance Premium,2017,2018,August,4,Female,45
3983,The New India Assurance,1904,24367.0,22833.0,Commercial Insurance Premium,2018,2019,June,5,Female,31
3984,HDFC ERGO General Insurance,1936,48252.0,60850.0,Commercial Insurance Premium,2018,2019,November,1,Male,74
3985,ICICI Lombard General Insurance,1296,26628.0,46682.0,Commercial Insurance Premium,2016,2017,September,10,Male,50
3986,ICICI Lombard General Insurance,3542,30912.0,44083.0,Personal Insurance Premium,2018,2019,September,10,Male,76
3987,ICICI Lombard General Insurance,2857,47230.0,22977.0,Commercial Insurance Premium,2014,2015,August,7,Female,23
3989,The Oriental Insurance Company,2760,32579.0,37561.0,Commercial Insurance Premium,2017,2018,July,8,Male,30
3990,The New India Assurance,2199,23200.0,80936.0,Commercial Insurance Premium,2018,2019,September,2,Female,27
3993,The Oriental Insurance Company,1945,43967.0,81027.0,Personal Insurance Premium,2017,2018,October,4,Male,66
3994,The New India Assurance,2636,20936.0,99929.0,Personal Insurance Premium,2015,2016,December,10,Male,35
3995,The New India Assurance,3430,21554.0,99573.0,Personal Insurance Premium,2018,2019,July,1,Female,68
3996,ICICI Lombard General Insurance,4404,34981.0,95538.0,Commercial Insurance Premium,2016,2017,November,5,Female,34
3997,HDFC ERGO General Insurance,3712,28909.0,67107.0,Commercial Insurance Premium,2016,2017,May,10,Female,19
3999,The New India Assurance,3913,36809.0,70211.0,Commercial Insurance Premium,2017,2018,August,2,Male,53
4000,The New India Assurance,4166,36140.0,82764.0,Commercial Insurance Premium,2017,2018,September,7,Female,43
4002,ICICI Lombard General Insurance,2833,40645.0,53002.0,Personal Insurance Premium,2015,2016,December,3,Male,71
4003,The Oriental Insurance Company,1692,21190.0,93766.0,Personal Insurance Premium,2015,2016,July,9,Female,79
4004,HDFC ERGO General Insurance,3348,23264.0,39745.0,Commercial Insurance Premium,2015,2016,June,5,Female,40
4005,HDFC ERGO General Insurance,1347,21056.0,43932.0,Personal Insurance Premium,2015,2016,May,3,Female,51
4006,The New India Assurance,3366,31237.0,68481.0,Personal Insurance Premium,2018,2019,November,10,Male,67
4007,TATA AIG General Insurance,3396,34713.0,74102.0,Personal Insurance Premium,2015,2016,October,10,Male,71
4008,ICICI Lombard General Insurance,2406,36397.0,66326.0,Commercial Insurance Premium,2014,2015,April,8,Male,28
4009,The New India Assurance,1493,28551.0,68363.0,Commercial Insurance Premium,2018,2019,August,3,Female,60
4012,TATA AIG General Insurance,3032,32184.0,39594.0,Commercial Insurance Premium,2016,2017,December,4,Male,47
4013,The New India Assurance,2696,40055.0,50574.0,Commercial Insurance Premium,2014,2015,April,6,Male,44
4014,TATA AIG General Insurance,1060,21837.0,89519.0,Personal Insurance Premium,2014,2015,August,6,Male,42
4015,ICICI Lombard General Insurance,2745,31463.0,51091.0,Personal Insurance Premium,2017,2018,April,9,Male,53
4016,HDFC ERGO General Insurance,3376,42674.0,85552.0,Commercial Insurance Premium,2015,2016,December,1,Female,33
4018,HDFC ERGO General Insurance,1956,49209.0,67157.0,Personal Insurance Premium,2017,2018,September,6,Female,70
4019,The New India Assurance,1693,29781.0,67606.0,Commercial Insurance Premium,2017,2018,December,7,Female,51
4021,TATA AIG General Insurance,3418,40900.0,75692.0,Personal Insurance Premium,2014,2015,June,9,Male,47
4022,HDFC ERGO General Insurance,3854,40658.0,77526.0,Personal Insurance Premium,2016,2017,October,1,Female,59
4023,TATA AIG General Insurance,3274,48673.0,84092.0,Personal Insurance Premium,2018,2019,August,8,Female,65
4025,TATA AIG General Insurance,1924,21961.0,44121.0,Personal Insurance Premium,2016,2017,January,6,Female,19
4026,ICICI Lombard General Insurance,2224,22981.0,94560.0,Personal Insurance Premium,2017,2018,August,3,Male,52
4029,The Oriental Insurance Company,1421,38639.0,24147.0,Personal Insurance Premium,2016,2017,August,4,Male,39
4030,TATA AIG General Insurance,3466,39231.0,94486.0,Personal Insurance Premium,2014,2015,August,1,Female,78
4031,The New India Assurance,2203,23940.0,44340.0,Personal Insurance Premium,2016,2017,September,4,Female,41
4033,The Oriental Insurance Company,4038,21550.0,73521.0,Personal Insurance Premium,2015,2016,March,2,Female,50
4034,HDFC ERGO General Insurance,3751,25349.0,97472.0,Commercial Insurance Premium,2018,2019,September,10,Male,21
4036,The New India Assurance,1186,41009.0,79720.0,Personal Insurance Premium,2015,2016,January,2,Female,60
4038,The New India Assurance,3380,24629.0,47873.0,Personal Insurance Premium,2014,2015,October,7,Male,46
4039,ICICI Lombard General Insurance,4795,30198.0,64245.0,Personal Insurance Premium,2017,2018,November,9,Male,51
4040,TATA AIG General Insurance,1795,47926.0,89266.0,Personal Insurance Premium,2017,2018,April,6,Male,65
4041,The New India Assurance,2128,42208.0,68633.0,Commercial Insurance Premium,2014,2015,September,3,Male,74
4042,The Oriental Insurance Company,4686,45764.0,31661.0,Personal Insurance Premium,2015,2016,September,6,Male,78
4043,HDFC ERGO General Insurance,2977,31699.0,82287.0,Commercial Insurance Premium,2016,2017,June,7,Female,46
4044,The Oriental Insurance Company,1937,34328.0,38246.0,Personal Insurance Premium,2018,2019,March,8,Male,33
4045,The New India Assurance,1807,22213.0,75094.0,Commercial Insurance Premium,2014,2015,November,7,Female,46
4046,The New India Assurance,4273,41137.0,84228.0,Personal Insurance Premium,2017,2018,January,7,Female,73
4047,ICICI Lombard General Insurance,3276,24614.0,41675.0,Personal Insurance Premium,2017,2018,October,6,Female,19
4049,The New India Assurance,3753,26451.0,24564.0,Commercial Insurance Premium,2018,2019,February,8,Male,29
4050,HDFC ERGO General Insurance,2344,42616.0,27289.0,Personal Insurance Premium,2015,2016,May,1,Male,48
